CID100000085	C[N+](C)(C)CC(O)CC(=O)[O-]
CID100004454	NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
CID100004456	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
CID100004463	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
CID100004473	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
CID100004485	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
CID100004493	CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
CID100004497	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
CID100004499	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
CID100004506	O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
CID100004509	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
CID100004510	O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
CID100004513	CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
CID100004536	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
CID100004539	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
CID100004542	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
CID100004543	CNCCC=C1c2ccccc2CCc2ccccc21
CID100004547	CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
CID100004568	C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(O[C@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2O[C@](O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)O[C@H]1C)CC(O)C2C(=O)O
CID100004583	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
CID100004585	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
CID100004594	COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
CID100004595	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
CID100004599	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
CID100004601	Cc1ccccc1C(OCCN(C)C)c1ccccc1
CID100004603	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
CID100004607	Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
CID100004609	O=C(O)C(=O)O.[NH-][C@@H]1CCCC[C@H]1[NH-].[Pt+2]
CID100004614	O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CID100004616	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
CID100004623	Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
CID100004631	C=CCOc1ccccc1OCC(O)CNC(C)C
CID100004634	CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
CID100004635	COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
CID100004638	C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CID100004639	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
CID100004649	Nc1ccc(C(=O)O)c(O)c1
CID100004666	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
CID100004673	NCCC(O)(P(=O)(O)O)P(=O)(O)O
CID100004675	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1
CID100004678	CC(C)(CO)[C@@H](O)C(=O)NCCCO
CID100004679	COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
CID100004680	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
CID100004689	NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
CID100004691	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
CID100004724	CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1
CID100004725	Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1
CID100004727	CC(C)(S)[C@@H](N)C(=O)O
CID100004730	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)CN2[C@H]1C(=O)O
CID100004735	N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
CID100004736	CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C
CID100004737	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
CID100004739	OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O
CID100004740	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
CID100004745	CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
CID100004746	C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
CID100004747	N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2
CID100004748	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
CID100004756	Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1
CID100004763	CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
CID100004768	CC(COc1ccccc1)N(CCCl)Cc1ccccc1
CID100004771	CC(C)(N)Cc1ccccc1
CID100004775	NCCCCc1ccccc1
CID100004782	CNC[C@H](O)c1cccc(O)c1
CID100004786	C[C@@H](N)[C@@H](O)c1ccccc1
CID100004810	COc1nc(C)nc(Cl)c1NC1=NCCN1
CID100004811	CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
CID100004819	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
CID100004828	CC(C)NCC(O)COc1cccc2[nH]ccc12
CID100004829	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CID100004834	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O
CID100004845	CC(C)(C)NCC(O)c1ccc(O)c(CO)n1
CID100004865	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
CID100004885	CCCN[C@H]1CCc2nc(N)sc2C1
CID100004889	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
CID100004891	O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
CID100004893	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
CID100004894	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CID100004895	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CID100004896	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CID100004900	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CID100004906	CCCNC(C)C(=O)Nc1ccccc1C
CID100004908	COc1cc(NC(C)CCCN)c2ncccc2c1
CID100004909	CCC1(c2ccccc2)C(=O)NCNC1=O
CID100004911	CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
CID100004913	CCN(CC)CCNC(=O)c1ccc(N)cc1
CID100004914	CCN(CC)CCOC(=O)c1ccc(N)cc1
CID100004915	CNNCc1ccc(C(=O)NC(C)C)cc1
CID100004917	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
CID100004920	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CID100004923	CC(C)N=C(N)/N=C(\N)Nc1ccc(Cl)cc1
CID100004927	CC(CN1c2ccccc2Sc2ccccc21)N(C)C
CID100004932	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
CID100004934	CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
CID100004935	CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
CID100004943	CC(C)c1cccc(C(C)C)c1O
CID100004946	CC(C)NCC(O)COc1cccc2ccccc12
CID100004976	CNCCCC1c2ccccc2C=Cc2ccccc21
CID100004989	CN1CCCN=C1/C=C/c1cccs1
CID100004991	CN(C)C(=O)Oc1ccc[n+](C)c1
CID100004992	COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
CID100004993	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CID100004999	Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
CID100005002	OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
CID100005005	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
CID100005029	COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C
CID100005032	CN[C@@H](C)[C@H](O)c1ccccc1
CID100005035	O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
CID100005038	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
CID100005039	CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
CID100005040	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
CID100005051	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
CID100005052	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
CID100005064	NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
CID100005070	Nc1nc2ccc(OC(F)(F)F)cc2s1
CID100005071	CC(N)C12CC3CC(CC(C3)C1)C2
CID100005073	Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CID100005076	CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
CID100005077	CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
CID100005078	CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
CID100005090	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
CID100005095	CCCN(CCC)CCc1cccc2c1CC(=O)N2
CID100005106	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
CID100005152	OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
CID100005155	Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O
CID100005161	O=C(Oc1ccccc1C(=O)O)c1ccccc1O
CID100005184	CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
CID100005193	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
CID100005195	C#CCN(C)C(C)Cc1ccccc1
CID100005203	CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
CID100005206	FCOC(C(F)(F)F)C(F)(F)F
CID100005210	CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
CID100005212	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
CID100005214	[Ag]
CID100005215	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
CID100005238	[Na]
CID100005245	O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
CID100005248	[Na]
CID100005253	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
CID100005257	C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
CID100005267	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
CID100005291	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CID100005297	CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
CID100005300	CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O
CID100005311	O=C(CCCCCCC(=O)Nc1ccccc1)NO
CID100005314	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
CID100005318	Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
CID100005320	CC(=O)NS(=O)(=O)c1ccc(N)cc1
CID100005329	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
CID100005352	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
CID100005358	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
CID100005359	CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
CID100005372	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CID100005376	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
CID100005379	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CID100005381	CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
CID100005391	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
CID100005394	Cn1nnc2c(C(N)=O)ncn2c1=O
CID100005396	COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CID100005401	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
CID100005402	CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
CID100005403	CC(C)(C)NCC(O)c1cc(O)cc(O)c1
CID100005404	CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CID100005407	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12
CID100005408	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
CID100005409	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
CID100005410	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
CID100005411	CCCCNc1ccc(C(=O)OCCN(C)C)cc1
CID100005419	c1ccc2c(c1)CCCC2C1=NCCN1
CID100005426	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
CID100005430	c1ccc2[nH]c(-c3cscn3)nc2c1
CID100005452	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
CID100005453	S=P(N1CC1)(N1CC1)N1CC1
CID100005454	CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
CID100005466	Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
CID100005470	C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
CID100005472	Clc1ccccc1CN1CCc2sccc2C1
CID100005478	CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
CID100005479	CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
CID100005483	CC(S)C(=O)NCC(=O)O
CID100005486	CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
CID100005487	Clc1ccc2nsnc2c1NC1=NCCN1
CID100005496	NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
CID100005503	Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
CID100005505	CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
CID100005508	Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
CID100005512	Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
CID100005514	CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
CID100005515	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
CID100005516	CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
CID100005523	COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
CID100005524	c1cc2c(c(NC3=NCCN3)c1)CCCC2
CID100005525	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
CID100005530	N[C@@H]1C[C@H]1c1ccccc1
CID100005533	O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
CID100005544	C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CID100005546	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
CID100005556	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
CID100005564	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
CID100005565	NCCNCCNCCN
CID100005566	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CID100005572	OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
CID100005576	CN1C(=O)OC(C)(C)C1=O
CID100005577	COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
CID100005578	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CID100005582	COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CID100005584	CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
CID100005591	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
CID100005593	CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
CID100005595	CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2
CID100005596	O=C(OC1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
CID100005625	CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
CID100005636	CCCCCCCC(=O)CC[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O
CID100005645	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CID100005647	CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21
CID100005650	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
CID100005651	C[NH2+][C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)[O-])c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O.Cl
CID100005656	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
CID100005665	C=CC(N)CCC(=O)O
CID100005672	CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
CID100005717	COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
CID100005718	Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
CID100005719	CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
CID100005721	CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N
CID100005726	Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
CID100005731	CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
CID100005732	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
CID100005734	NS(=O)(=O)Cc1noc2ccccc12
CID100005735	CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
CID100005746	CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
CID100005771	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
CID100005775	Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
CID100005877	Cl.Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1
CID100005878	C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CID100005939	N=C(N)N=C(N)N
CID100005978	CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
CID100006018	COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
CID100006049	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
CID100006058	NCCS
CID100006116	[Ca]
CID100006238	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
CID100006256	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
CID100006432	FC(F)(F)C(F)(F)C(F)(F)F
CID100006436	C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
CID100006468	c1ccc(C2(N3CCCCC3)CCCCC2)cc1
CID100006476	CN1C(=O)CC(C)(c2ccccc2)C1=O
CID100006503	NC(CO)(CO)CO
CID100006726	CN1CCN(C(c2ccccc2)c2ccccc2)CC1
CID100007029	CCN(CC)C(C)C(=O)c1ccccc1
CID100007187	O=C(OOC(=O)c1ccccc1)c1ccccc1
CID100007638	Oc1ccc(OCc2ccccc2)cc1
CID100007699	CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
CID100008197	NCCNCCNCCNCCN
CID100008612	CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
CID100008982	CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
CID100009034	C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
CID100009433	Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN
CID100009904	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
CID100010100	CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
CID100010340	[Na]
CID100010413	O=C([O-])CCCO
CID100010547	CCOP(=O)(OCC)SCC[N+](C)(C)C
