drug_name,adr_text,smiles
CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE,Obsessiv. thoughts,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.O.Cl
CIRCADIN,Agitation. . Majo. Attentio. Somnolence. depression. deficit/hyperactivit. Sedation. Depression. disorder. Bipola. Merycism,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
CISATRACURIUM,closur. Angl. glaucoma,C[N@@+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N@+]4(CCC5=CC(=C(C=C5[C@H]4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
CISORDINOL,Amenorrhoea. Muscula. Weigh. Dyspnoea. Muscl. cance. Galactorrhoea. Aggression. Abdomina. Palpitations. cel. Dysuria. ger. enlargement. Hyperhidrosis. pain. increased. Ovaria. Fatigue. Swelling. prolacti. II. weakness. Bloo. spasms. Agitation. Dyskinesia. Breas. Tremor. stag,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
CISPLATIN,use. Pyrexia. generalised. appetite. Oropharyngea. Visio. Neuropath. Dyspnoea. haemorrhage. Neutropenia. issue. Dermatiti. Ches. qualit. Abdomina. Oesophagitis. acneiform. peripheral. Pericarditis. leukaemia. swelling. Tinnitus. Malignan. Decrease. progression. neoplas. Acut. Produc. Platele. labe. lea. pain. Of. Headache. Infusio. reaction. Hyperhidrosis. Secon. Anaemia. effusion. Vomiting. Hyperkalaemia. relate. ineffective. malignancy. Flushing. primar. Myelodysplasti. Dru. Electrolyt. Recta. Pneumonitis. coun. decreased. syndrome. Pneumonia. Nausea. shock. Stomatitis. Periphera. Capillar. myeloi. Radiatio. blurred. imbalance. Cough. Diarrhoea. face. Rash. Hypoxia. Ras. Septi. Swellin. Pleura. pneumonitis,N.N.Cl[Pt]Cl
CISPLATINE,Cardia. pectoris. disorder. Angin,N.N.Cl[Pt+2]Cl
CITALOPRAM,. Lun. Bacteria. pregnancy. Muscula. toxi. Injectio. tenderness. arter. Visio. Ora. Neuropath. sit. Dysphemia. Incorrec. Infection. Psychomoto. Pani. Eosinophi. Testicula. Neutrophi. Feelin. rupture. Tinnitus. swelling. Irritability. Hypertension. Haematoma. depression. Promyelocyt. cel. abnormal. dru. Multipl. Epididymitis. Paraesthesia. Vomiting. abuse. Transfusion. Dru. Intraocula. Tension. arteria. Nephrocalcinosis. Disturbanc. rate. Gastrointestina. concussio. ideation. rati. tubula. Diarrhoea. attack. Haematocri. date. Dermoi. Diplopia. Pyrexia. aggravated. granulatio. present. Menta. Dyspnoea. haemorrhage. neuritis. Myelocyt. Balanc. Lymphocyt. Gonorrhoea. Metamyelocyt. Gastritis. Haemorrhoids. Sedation. Dysarthria. Dysuria. Platele. Leukopenia. Agranulocytosis. Haemoglobi. Proctalgia. Moto. dehiscence. Rena. infection. Gai. sclerosi. Visua. Psoriasis. arthropathy. hypertension. decreased. creatin. Ana. Erosiv. tes. Micropenis. discomfort. Agitation. accident. Attentio. Spleni. Hear. Somnolence. Neurosis. blurred. Cough. injury. impairment. acidosis. venou. Nec. Flui. administratio. Dizziness. Energ. Erythema. Pollakiuria. developmenta. Hypokinesia. Tuberculosis. deficit/hyperactivit. Neutropenia. disorder. Poo. Re. left. Abdomina. B1. cyst. peripheral. Bladde. phosphokinas. stenosis. Whit. Hyperammonaemia. Movemen. Arthralgia. attention. Granuloma. Gastroenteritis. Affectiv. hyperactivity. Abasia. Hyperhidrosis. erythema. functio. Nervou. Anaemia. Unevaluabl. Fatigue. disturbance. Psoriati. durin. Thrombocytopenia. Disorientation. behaviour. weakness. coun. Bloo. Asthenia. Nausea. Merycism. Periphera. Pos. creatinin. fo. Conditio. relapse. Abnorma. Carnitin. Wheezing. event. access. mucosa. delay. Basophi. Oedem. rat. Vitami. Anxiety. use. Hypospadias. Internationa. Incontinence. Exposur. retention. i. Depression. Obstructiv. t. Urinar. Shif. Dysaesthesia. Ches. Hepatitis. Melaena. oesophagitis. Pulmonar. Emotiona. labe. th. Schizoaffectiv. pain. Aphasia. syste. Blas. Cryptorchism. Live. increased. airway. Woun. Opti. interaction. Monocyt. Fall. Smal. Suicida. deficiency. normalise. baby. pressur. Cerebrovascula. Libid. Nerv. syndrome. abscess. Bipola. hot. Majo. Ey. Concussion. Convulsion. Of. bloo. Orchitis. folat,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
CITALOPRAM HYDROBROMIDE,. Fatigue. irregular. Hear. wav. Retching. Dehydration. inversion. Diverticulitis. Constipation. abnormal. Nausea. rat. Electrocardiogra,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br
CITALOPRAM HYDROCHLORIDE,abuse. Intentiona. Sopor. Dru. Overdose. self-injury,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Cl
CITRACAL,. mellitus. diabete. Typ,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.O.O.O.[Ca+2].[Ca+2].[Ca+2]
CLAFORAN,haemorrhag. Intraventricula. neonatal,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OC)/C3=CSC(=N3)N)SC1)C(=O)O
CLAMOXYL,haemorrhag. Intraventricula. neonatal,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
CLARAVIS,Anxiety. Dee. Neoplas. Abdomina. deterioration. Emotiona. distress. vei. Injury. pain. altered. Genera. healt. malignant. Moo. thrombosis. physica. Pain. Thrombosis,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
CLARITH,Stomatiti. Pyrexia. Oropharyngea. Ora. Erythema. haemorrhage. Tongu. degenerativ. Scab. disorder. multiforme. blistering. Mucou. swelling. Stevens-Johnso. Entera. Hypophagia. Li. pain. nutrition. Dermatitis. Blister. mucos. Vomiting. ulceration. Cheilitis. erosion. coated. Bronchopneumonia. syndrome. membran. Erythem. Penil. necrotising. face. Cough. Mout. Swellin. mucosa. Ski,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
CLARITHROMYCIN,Insomnia. pregnancy. Weigh. Materna. Transaminase. Dyspnoea. Malaise. newborn. Pyelonephritis. adenoma. Activitie. Colo. atrophy. Headache. Hyperhidrosis. o. increased. livin. exposur. durin. Myalgia. decreased. Asthenia. dail. Nausea. Norma. impaired. Iri. Dysgeusia. Diarrhoea,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
CLARITIN,Weigh. Tongu. Dee. Overdose. administered. Lacrimatio. dos. dry. vei. increased. Thirst. ineffective. mouth. Extr. Dru. decreased. Dr. thrombosis. effec,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
CLARITIN REDITABS,produc. exposur. child. t. Accidenta. b. Overdose,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
CLAVULANATE POTASSIUM,Overdose,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-].[K+]
CLEXANE,Melaena. Pyrexia. Hypersensitivity. lesion. Pancytopenia. Hypoacusis. Ski,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
CLIMARA,Colitis,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
CLINDAMYCIN,Pyrexia. Bon. Neuropath. Neutropenia. systemi. Tonsillitis. Nephrogeni. cough. peripheral. Stevens-Johnso. Pharyngea. Phlebitis. Tonsilla. Leukopenia. erythema. discharge. Thrombocytopenia. marro. Odynophagia. Lymphadenopathy. syndrome. Productiv. Purulen. Pancytopenia. Cough. fibrosis. failure. hypertrophy. Tremor,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl
CLINDAMYCIN HCL,Diarrhoea. Cellulitis. hypersensitivity. Dru,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl.Cl
CLINDAMYCIN PHOSPHATE,Rash. disorder. Ski,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)OP(=O)(O)O)O)O)[C@H](C)Cl
CLOBAZAM,Generalise. oedema. Incontinence. burn. Ora. Influenza. Therma. Stress. Abdomina. Malignan. progression. neoplas. candidiasis. Headache. pain. ineffective. Fatigue. Dru. Laceration. Dysgeusia. Diarrhoea. Convulsion. Constipation. Nasopharyngitis,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CLOBETASOL,Appendicitis. Paraesthesi. Moo. Anger. Fatigue. abnormal. oral. Migraine. Dysgeusia. Dru. coun. Headache. effec. Bloo. decreased. swings. Sunburn,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C
CLOBETASOL PROPIONATE,infection. difficil. Clostridiu,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
CLOMETHIAZOLE,syndrome. Myelodysplasti,CC1=C(SC=N1)CCCl
CLOMIPRAMINE,Trismus. Somnolence. Fatigue,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
CLONAZEPAM,Sjogren^. . Muscula. Bon. Ora. Tongu. Stress. Infection. Pani. Neutrophi. Feelin. Irritability. Atria. abnormal. Vomiting. relate. Dru. Spina. inversion. concussio. Death. wav. Arthritis. Diarrhoea. attack. Drug-induce. Insomnia. Pyrexia. Dyspnoea. heigh. dos. ischaemi. live. Haemorrhoids. Platele. Haemoglobi. Chroni. reaction. Proctalgia. Electrocardiogra. ineffective. mouth. decreased. Ana. papular. Hear. Neurosis. injury. Bronchitis. nervou. failure. Pain. Ras. Transien. Aphagia. pulmonar. Dizziness. generalised. Weigh. mellitus. Erythema. disorder. blistering. administered. dry. Tuberculosi. Decrease. Abasia. Hyperhidrosis. system. disease. Flushing. Thirst. Fatigue. Hypoaesthesia. Diabete. Alopecia. marro. behaviour. weakness. coun. Bloo. Asthenia. Nausea. Pos. Dr. Abnorma. mucosa. rat. Ammoni. Anxiety. H1N. appetite. Depression. Ches. fibrillation. pain. Infusio. Aphasia. o. increased. irregular. Fall. Myelodysplasti. Extr. Emphysema. Respirator. pressur. syndrome. abscess. obstructiv. influenza. centra. Ey. Pancytopenia. Concussion. Chills. Bod,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
CLONEX,Metastase. centra. t. nervou. system,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
CLONIDINE,acidosis. pregnancy. Fibromyalgia. scal. complication. fiel. defect. Com. systemi. disorder. neonatal. Nephrogeni. Overdose. cyst. dialysi. systoli. detachment. abnormal. Metaboli. Rena. Fatigue. ineffective. exposur. Fall. Hypotension. Visua. Dru. durin. pressur. Foeta. decreased. Bloo. Retina. Hear. Ey. rat. Peritonea. withdrawa. fibrosis. syndrom,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
CLOPIDOGREL,Diplopia. Pyrexia. Dizziness. Dyspnoea. haemorrhage. i. Urinar. disorder. Balanc. peripheral. Los. consciousness. Gastroenteritis. Headache. Hyperhidrosis. Haematuria. o. Vomiting. infection. trac. Gai. disturbance. Contusion. Myalgia. Asthenia. extremity. Nausea. Vagina. Pai. Chillblains. Oedem,COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
CLORANA,Muscula. Diabete. mellitus. Gai. abnormal. disturbance. Influenza. Cough. cholestero. Bon. triglyceride. Pain. disorder. Patient-devic. weakness. Bloo. incompatibility. Anaemia,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
CLORAZEPATE DIPOTASSIUM,Oxyge. Suicid. intubation. Hypotension. Electrocardiogra. Endotrachea. Tachycardia. Poisoning. attempt. decreased. Overdose. saturatio. prolonged. Coma. Q,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)[O-].[OH-].[K+].[K+]
CLOTRIMAZOLE,Anxiety. disease. obstructiv. pulmonar. Dyspnoea. Emphysema. Bronchitis. Stress. Chroni,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
CLOZAPINE,Insomnia. Paroti. Akathisia. bipola. Depression. Aggression. Ea. Irritability. Oedema. Leukopenia. Schizoaffectiv. enlargement. Leukocytosis. pain. Inflammation. Schizophrenia. hypersecretion. Anaemia. increased. glan. ineffective. Dru. Tachycardia. Thrombocytopenia. undifferentiate. Salivar. Odynophagia. behaviour. disorde. syndrome. Parotitis. Pos. concussio. type. Neurosis. Concussion. Abnorma. Suspiciousness. Granulocytopenia. Ammoni,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
CLOZARIL,Pneumoni. Bacteria. toxi. defect. Absces. Infection. Eosinophi. Overdose. Neutrophi. Circulator. Cardio-respirator. Pathoge. consciousness. Promyelocyt. cel. Atria. abnormal. percentag. Vomiting. trac. Asphyxia. right. Dru. prolacti. dysfunction. Overweight. Eosinophilia. Cardia. collapse. infarction. Breas. Haematocri. Differentia. septa. Pyrexia. aggravated. Insomnia. granulatio. present. Oropharyngea. Dyspnoea. tachycardia. Malaise. Lymphocyt. Myelocyt. Metamyelocyt. Paranoia. Platele. Leukopenia. Agranulocytosis. Bundl. Haemoglobi. Electrocardiogra. metastatic. infection. ineffective. Staphylococca. Psychiatri. decreased. creatin. tes. bacterial. Hear. Cough. venou. respirator. mellitus. Sinu. Neutropenia. cance. Re. Glaucoma. disorder. Poo. left. folat. B1. phosphokinas. Choking. Whit. Hyperammonaemia. ventricula. Granuloma. Eatin. arrest. functio. hypersecretion. Lef. Thirst. Diabete. Tachycardia. behaviour. coun. Bloo. Pneumonia. Lowe. creatinin. Conditio. Abnorma. Constipation. access. Basophi. rat. Vitami. Aspiration. Obstructiv. t. Myocardia. Shif. Restlessness. Los. Intentiona. branc. th. Schizoaffectiv. pain. Live. Blas. o. increased. airway. Monocyt. Fall. aspiration. resistance. Salivar. pressur. whit. bloc. Bursitis. Asthma. symptom. bloo. self-injury. diastoli,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
CO CODAMOL,Spleni. rupture,CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
CO Q10,Psychoti. respirator. progression. Dyspnoea. Depression. failure. disorder. Chroni. Blindness. Diseas,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
CO-CODAMOL,Join. Anxiety. Insomnia. convulsion. Muscula. Mobilit. Dyspnoea. i. ma. palsy. tightness. swelling. nerv. attention. loss. Gran. Fatigue. Sensor. decreased. weakness. Disturbanc. extremity. Peronea. Pai. Leukoencephalopathy. Throa,CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4C1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
CO-Q10,Insulinoma. coma. Hypoglycaemi,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
CO-TRIMOXAZOLE,Rena. Weigh. Diarrhoea. impairment. Malaise. decreased. Lethargy,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
COAPROVEL,Gout. Hypertension. Ey. haemorrhage. Haemorrhoids. Osteoporosis. Haemorrhage. disorder. Recta. Diverticulitis. Nephrolithiasis,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5.C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
CODEIN,hypersensitivity. Dru,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
CODEINE,Pituitar. respirator. viral. Muscl. Headache. infection. trac. Dru. Gastroenteriti. torsion. decreased. removal. Pneumonia. tumou. spasms. Lowe. Appendicitis. Penil. Diarrhoea. hypersensitivity. effec,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
CODEINE PHOSPHATE,retention. thrombosis. Dee. phimosis. Dysgeusia. Urinar. vei. Acquire,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
CODEINE SULFATE,Anxiety. Vomiting. Hypersensitivity. Dru. hypersensitivity. Nausea,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OS(=O)(=O)O
COENZYME Q10,. interaction. Adenocarcinom. mellitus. diabete. Dru. pancreas. Haemorrhage. Typ,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
COGENTIN,peripheral. present. Gai. disturbance. Medicatio. residu. Oedem,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O
COLACE,appetite. Muscula. Abdomina. perforation. devic. defective. Decrease. carcinoma. Medica. abnormal. pain. Fall. Flatulence. weakness. coun. Bloo. Pancreati. Nausea. discomfort. Dyspareunia. Uterin. Devic. Constipation,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
COLCHICINE,Dizziness. prescribin. N. therapeuti. haemorrhage. Muscl. Depression. overdose. Malaise. Multi-orga. Abdomina. Diseas. Feelin. Nigh. Suicid. Intentiona. progression. Arthralgia. response. abnormal. pain. interaction. twitching. Fatigue. error. Dru. sweats. Myalgia. Asthenia. Nausea. spasms. Gastrointestina. Cough. Diarrhoea. failure. attempt,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
COLCRYS,electrolyte. Rena. Vomiting. Bloo. appetite. abnormal. Decrease. disorder. Asthenia. Nausea,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
COLECALCIFEROL,Incorrec. Hepatiti. fulminant. Shock. administered. dos,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
COLESTIPOL,Anaemia,C1C(O1)CCl.C(CNCCNCCNCCN)N
COMBIGAN,Ful. interaction. appetite. Fatigue. Fall. Decrease. Dru. Contusion. Diarrhoea. Haemorrhage. decreased. coun. bloo,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O.C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
COMBIVIR,acquired. infection. ineffective. Fatigue. Weigh. Pharyngitis. Epilepsy. Dru. Apathy. Lipodystroph. disorder. Headache. Herpe. Nasopharyngitis. decreased. Aggression. Ill-define. viru,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-]
COMETRIQ,Fatigue. Death. Dysphonia. Dyspnoea. Diarrhoea,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F
COMPAZINE,Febril. mood. Neutropenia. Infection. ischaemi. Whit. Cardio-respirator. cel. Dehydration. neutropenia. arrest. Depresse. Respirator. decreased. coun. shock. Death. attack. failure. Septi. bloo. Transien,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
COMPLERA,Pregnancy,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)/C=C/C#N.C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F.C(=C/C(=O)O)\C(=O)O
COMTAN,discoloured. Fracture. Chromaturia. Sputu,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N
COMTESS,Los. Syncope. anaemia. consciousness. Iro. deficienc. o,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N
CONCERTA,Anxiety. Insomnia. appetite. upper. Mobilit. Dyspnoea. pai. Ches. Abdomina. Pulmonar. deterioration. fibrillation. Emotiona. Decrease. Palpitations. distress. erection. Atria. pain. Injury. Musculoskeleta. Genera. Painfu. Tic. healt. decreased. respiration. embolism. physica. Pain,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
CONCOR,use. administratio. error. accident. Dru. Thyroi. neoplasm. nodul. Cerebrovascula. labe. Of. removal. Metrorrhagia,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
CONGESCOR,acidosis. Angioedema. ineffective. Dyspnoea. Dru. Metaboli,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=C/C(=O)O)\C(=O)O
CONIEL,misuse. produc. Intentiona. decreased. Bloo. potassiu. prolonged. Electrocardiogra. Q,CC1=C(C(C(=C(N1)C)C(=O)OC2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC
CONTOL,encephalopathy. Los. consciousness. Hypoxic-ischaemi. o,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl
CONTRAMAL,state. Bronchia. Somnolence. Rhonchi. obstruction. Wheezing. Confusiona,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O.Cl
COPEGUS,. Pyrexia. Amylas. Bon. illness. disorder. Pruritus. pancreatitis. Toot. deterioration. swelling. pruritic. Retinopathy. Dysuria. Lipas. Hepatiti. Agranulocytosis. maculo-papular. RN. increased. Eczema. Surgery. interaction. Genera. Therapeuti. produc. ineffective. Transfusion. Dru. healt. marro. Asthenia. lik. Pneumonia. Oedematou. Influenz. Retina. Ey. Pancytopenia. physica. failure. Ras. toxicity,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
COQ10,Lun. respirator. Dizziness. Exposur. Dyspnoea. infectio. cholestero. Urinar. t. issue. water. qualit. Los. consciousness. Acut. Produc. contaminate. Headache. o. distres. increased. infection. Fatigue. pneumonia. trac. Fall. Amnesia. Psoriasis. Genita. Bloo. syndrome. Asthenia. Lowe. bacterial. Organisin. rash,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
CORDARONE,Arrhythmia. Lun. present. Erythema. Dyspnoea. Epistaxis. Overdose. haemorrhagic. Pruritus. Hypertension. Arthralgia. Haematochezia. segmen. abnormal. arrest. S. Electrocardiogra. urin. interaction. infection. Vomiting. Syncope. Subdura. Dru. Pulseles. Asthenia. Bloo. Blindness. Nausea. activity. shock. Cardia. haematoma. electrica. Shoc. failure. Septi. Diverticulum,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
COREG,arter. Visio. Ora. Muscl. defect. Confusiona. administration. Hypertension. consciousness. acute. Atria. dru. Paraesthesia. schedul. Dru. lesion. congestive. spasms. Cardia. infarction. Hypogonadism. Diarrhoea. Ski. state. Arrhythmia. Fibromyalgia. haemorrhage. tachycardia. Delusion. Pruritus. Coronar. Ventricula. bradycardia. ineffective. Visua. dilatation. Bac. decreased. Retina. apnoe. Hear. blurred. failure. Pain. Ejectio. Nec. Flui. fiel. Sinu. disorder. failur. Glaucoma. occlusion. Inappropriat. Slee. Acut. systoli. detachment. arrest. Lef. disease. Flushing. Fatigue. Hypoaesthesia. Hypotension. atria. cardiomyopathy. Contusion. Bloo. Basa. Constipation. Nasopharyngitis. rat. fractio. retention. Deafness. Aggression. Los. fibrillation. pain. gangli. o. increased. myocardia. Respirator. pressur. syndrome. Blindness. Hyponatraemia. Ischaemi. Ey,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
COREG CR,Cardia. disease. Osteoarthritis. Rheumatoi. Diabete. mellitus. Hypertension. arter. arthritis. failur. congestive. Coronar. Anaemia,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O.COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O.O.OP(=O)(O)O.OP(=O)(O)O
CORTANCYL,Lun. disorder. haemorrhagic. Tinnitus. fracture. Hypertension. distress. Gastroenteritis. Femora. Kaposi^. Erysipelas. interaction. Pterygium. nec. infection. Fall. Localise. sarcoma. Dru. Thrombocytopenia. Respirator. Asthenia. Bronchopneumonia. Cardia. Cholelithiasis. Pharyngitis. Cholecystitis. Pancytopenia. Bronchitis. Shoc. failure. Vasculitis,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)C)O
